Mon Nov 13 07:26:03.554 2023 : CtMain::main processing for command=/ c 0 show 
Mon Nov 13 07:26:03.555 2023 : Entering LinuxControllerExplorer::explore 
Mon Nov 13 07:26:03.555 2023 : Entering LinuxControllerExplorer::getCtrlCount
Mon Nov 13 07:26:03.555 2023 : LinuxControllerExplorer::getCtrlCount _hDvr=4 _hDvrSwr =-1
Mon Nov 13 07:26:03.555 2023 : LinuxControllerExplorer::getCtrlCount kernelVer=1 
Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: classpath = /sys/class/scsi_host

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host15

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host15

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host15/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host9

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host9

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host9/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host13

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host13

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host13/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host7

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host7

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host7/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host11

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host11

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host11/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host5

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host5

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host5/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host3

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host3

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host3/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host1

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host1

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host1/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = mpt3sas


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host16

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host16

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host16/proc_name

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host14

Mon Nov 13 07:26:03.555 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host14

Mon Nov 13 07:26:03.555 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host14/proc_name

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host8

Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host8

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host8/proc_name

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host12

Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host12

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host12/proc_name

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host6

Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host6

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host6/proc_name

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host10

Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: path = /sys/class/scsi_host/host10

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: path = /sys/class/scsi_host/host10/proc_name

Mon Nov 13 07:26:03.556 2023 : cli_get_adapter_map: drvname = ahci


Mon Nov 13 07:26:03.556 2023 : cli_sysfs_scan_for_new_devices: direntry->d_name = host4

